instance_name,Algorithm,n_items_types,Bin_Length,Bin_Width,Total_Value,Num_Placed_Pieces,execution_time_s,peak_memory_mb
CHL1.txt,GRASP,30,132,100,7171,13,5.435468499956187,59.8046875
CHL1.txt,EDA,30,132,100,7854,8,2.951108600012958,60.65234375
CW1.txt,GRASP,25,125,105,4933,10,2.1389733999967575,60.65234375
CW1.txt,EDA,25,125,105,6086,8,2.0758466999977827,60.6875
CW2.txt,GRASP,35,145,165,3880,8,3.0607343000010587,60.6875
CW2.txt,EDA,35,145,165,4890,7,1.877370800008066,60.77734375
CW3.txt,GRASP,40,267,207,4454,8,4.388378600007854,60.77734375
CW3.txt,EDA,40,267,207,5693,5,2.989224999968428,61.81640625
Hchl2.txt,GRASP,35,130,130,8445,16,6.247821199998725,61.875
Hchl2.txt,EDA,35,130,130,9148,7,3.363808900001459,61.8828125
STS4.txt,GRASP,20,99,99,8138,15,2.085872100025881,61.88671875
STS4.txt,EDA,20,99,99,9411,7,1.9042064999812283,61.89453125
okp1.txt,GRASP,15,100,100,25205,11,0.8590138000436127,61.8984375
okp1.txt,EDA,15,100,100,27360,8,2.4684589999960735,61.8984375
okp2.txt,GRASP,30,100,100,17670,8,1.9996328999986872,61.8984375
okp2.txt,EDA,30,100,100,21401,9,1.6473350999876857,61.8984375
okp3.txt,GRASP,30,100,100,18887,7,2.032372799993027,61.8984375
okp3.txt,EDA,30,100,100,22745,8,1.3460052000009455,61.8984375
okp4.txt,GRASP,33,100,100,26691,11,3.4310648000100628,61.8984375
okp4.txt,EDA,33,100,100,35629,10,2.62226340000052,61.8984375
okp5.txt,GRASP,29,100,100,46361,33,2.8592663000454195,61.8984375
okp5.txt,EDA,29,100,100,26292,7,4.07947499997681,62.15234375
